name,alpha,beta_SP,beta_HS
Global HFI,0.000107007697633382,0.014654821160717316,0.0006621939189718855
Equity Hedge,0.0001382515882885375,0.028285286852273484,0.0010506335585977516
Event Driven,0.00016964082007459765,0.018022883240031914,0.0008163041040378876
Macro/CTA,3.613873086637284e-05,0.0027320307286239935,2.2354028096449534e-05
Relative Value,9.557694220562351e-05,0.0075822009289908485,0.0006842223677702666
RV:FI Convertible Arbitrage,2.2129496142142972e-05,0.0026777519059383195,0.0001920466768222378
Gree,0.0011115479935035228,0.028940125150471754,0.009143758947948097
