name,alpha,beta_SP,beta_HS
Global HFI,952.6163381539368,0.03011664146451698,0.009066895901622442
Equity Hedge,965.0226736821155,0.02952872470672838,0.0073763242746675475
Event Driven,874.4110241097933,0.0879180004370441,0.01860492689660691
Macro/CTA,1089.2524902703926,-0.057912976945943176,0.009362650445056688
Relative Value,882.9312213896864,0.04503882740255822,0.008624376302995632
RV:FI Convertible Arbitrage,985.7460974667497,0.09327180206095147,-0.01565502646682513
Gree,-20.091664732840417,0.009213639325550893,0.001491617150439505
